2CR_INTERNAL_ID,MLS_IDS,VALUE_TYPE
BATHROOMS,form.widgets.baths,CLASSIC
BEDROOMS,form.widgets.bedrooms,CLASSIC
DESCRIPTION,form.widgets.long_description.i18n.en,CLASSIC
FLOOR_TYPE,form.widgets.flooring_type:list,MULTIPLE_CHOICE
FOLIO_REAL,form.widgets.folio_real_number,CLASSIC
FOLIO_REAL,form.widgets.folio_real_number,CLASSIC
GEO_LOCATION,form.widgets.geolocation,CLASSIC
GEO_TYPE,form.widgets.geographic_type:list,MULTIPLE_CHOICE
LISTING_ADRESS,form.widgets.property_title,CLASSIC
LOCATION_TYPE,form-widgets-location_type,MULTIPLE_CHOICE
LOT_SIZE,form.widgets.lot_size,CLASSIC
PRICE,form.widgets.price_asking,CLASSIC
PROPERTY_TYPE,form.widgets.object_type,MULTIPLE_CHOICE
SIZE,form.widgets.living_area,CLASSIC
STORIES,form.widgets.stories,CLASSIC
STREET_ACCESS,form.widgets.street_access,BOOLEAN_CHOICE
YEAR_BUILT,form.widgets.year_built,CLASSIC
ZIP_CODE,form.widgets.zip_code,CLASSIC
ZONING,form.widgets.zoning:list,MULTIPLE_CHOICE
