ATTRIBUTE,VALUE_TYPE
AIR_CONDITION,BOOLEAN_CHOICE
AIR_CONDITION_TYPE,MULTIPLE_CHOICE
BATHROOMS,CLASSIC
BEDROOMS,CLASSIC
CITY,CLASSIC
CON_STATUS,MULTIPLE_CHOICE
DESCRIPTION,CLASSIC
FLOOR_TYPE,MULTIPLE_CHOICE
FURNISHED,BOOLEAN_CHOICE
FURNISHED_TYPE,MULTIPLE_CHOICE
GEO_TYPE,CLASSIC
JACUZZI,BOOLEAN_CHOICE
JACUZZI_TYPE,MULTIPLE_CHOICE
LATLONG,CLASSIC
LISTING_ADRESS,CLASSIC
LOCATION_TYPE,MULTIPLE_CHOICE
LOT_SIZE,CLASSIC
MLS_ID,IGNORE
POOL,BOOLEAN_CHOICE
POOL0,MULTIPLE_CHOICE
PRICE,CLASSIC
PROPERTY_TYPE,MULTIPLE_CHOICE
ROOF_TYPE,MULTIPLE_CHOICE
SHORT_DESCRIPTION,CLASSIC
SIZE,CLASSIC
STORIES,CLASSIC
VIEW_TYPE,MULTIPLE_CHOICE
YEAR_BUILT,CLASSIC
ZIP_CODE,CLASSIC
ZONING,MULTIPLE_CHOICE
